id	book_id	user_id	state	timeBorrow	timeBack
1	2724	766	0	1702949088	1702949098
2	812	640	0	1702949098	1702949118
3	7452	708	0	1702949108	1702949138
4	4891	8	0	1702949118	1702949158
5	6777	943	0	1702949128	1702949178
6	9187	226	0	1702949138	1702949198
7	5969	666	0	1702949148	1702949218
8	9257	522	0	1702949158	1702949238
9	2853	672	0	1702949168	1702949258
10	1308	422	0	1702949178	1702949278
11	6844	745	0	1702949188	1702949298
12	3918	722	0	1702949198	1702949318
13	1651	318	0	1702949208	1702949338
14	5553	198	0	1702949218	1702949358
15	8150	259	0	1702949228	1702949378
16	4630	643	0	1702949238	1702949398
17	3852	325	0	1702949248	1702949418
18	83	750	0	1702949258	1702949438
19	9818	917	0	1702949268	1702949458
20	5685	236	0	1702949278	1702949478
21	5265	932	0	1702949288	1702949498
22	3494	434	0	1702949298	1702949518
23	8988	440	0	1702949308	1702949538
24	7913	584	0	1702949318	1702949558
25	1822	891	0	1702949328	1702949578
26	1058	973	0	1702949338	1702949598
27	4346	865	0	1702949348	1702949618
28	8809	506	0	1702949358	1702949638
29	9180	413	0	1702949368	1702949658
30	890	330	0	1702949378	1702949678
31	8166	541	0	1702949388	1702949698
32	9278	52	0	1702949398	1702949718
33	2551	936	0	1702949408	1702949738
34	7177	622	0	1702949418	1702949758
35	9243	515	0	1702949428	1702949778
36	458	38	0	1702949438	1702949798
37	3336	238	0	1702949448	1702949818
38	5281	511	0	1702949458	1702949838
39	7482	642	0	1702949468	1702949858
40	3406	806	0	1702949478	1702949878
41	2979	204	0	1702949488	1702949898
42	1489	108	0	1702949498	1702949918
43	6816	598	0	1702949508	1702949938
44	9402	943	0	1702949518	1702949958
45	3364	238	0	1702949528	1702949978
46	1236	415	0	1702949538	1702949998
47	3712	377	0	1702949548	1702950018
48	4169	976	0	1702949558	1702950038
49	6650	220	0	1702949568	1702950058
50	9980	644	0	1702949578	1702950078
51	5839	837	0	1702949588	1702950098
52	2444	439	0	1702949598	1702950118
53	7844	444	0	1702949608	1702950138
54	8808	626	0	1702949618	1702950158
55	5989	299	0	1702949628	1702950178
56	5577	218	0	1702949638	1702950198
57	7688	870	0	1702949648	1702950218
58	2944	659	0	1702949658	1702950238
59	2829	521	0	1702949668	1702950258
60	2007	708	0	1702949678	1702950278
61	3594	137	0	1702949688	1702950298
62	404	280	0	1702949698	1702950318
63	3386	401	0	1702949708	1702950338
64	3200	529	0	1702949718	1702950358
65	5348	871	0	1702949728	1702950378
66	4839	974	0	1702949738	1702950398
67	4350	980	0	1702949748	1702950418
68	9166	305	0	1702949758	1702950438
69	1296	837	0	1702949768	1702950458
70	5115	848	0	1702949778	1702950478
71	5419	120	0	1702949788	1702950498
72	3616	926	0	1702949798	1702950518
73	8619	762	0	1702949808	1702950538
74	289	737	0	1702949818	1702950558
75	3049	569	0	1702949828	1702950578
76	6630	428	0	1702949838	1702950598
77	4591	590	0	1702949848	1702950618
78	3761	457	0	1702949858	1702950638
79	8776	921	0	1702949868	1702950658
80	1832	830	0	1702949878	1702950678
81	8818	207	0	1702949888	1702950698
82	6072	872	0	1702949898	1702950718
83	5794	927	0	1702949908	1702950738
84	3727	75	0	1702949918	1702950758
85	471	142	0	1702949928	1702950778
86	4543	985	0	1702949938	1702950798
87	7030	64	0	1702949948	1702950818
88	6086	408	0	1702949958	1702950838
89	4189	410	0	1702949968	1702950858
90	7088	910	0	1702949978	1702950878
91	9205	166	0	1702949988	1702950898
92	5174	330	0	1702949998	1702950918
93	226	959	0	1702950008	1702950938
94	1866	851	0	1702950018	1702950958
95	2258	116	0	1702950028	1702950978
96	2663	450	0	1702950038	1702950998
97	1303	739	0	1702950048	1702951018
98	2071	470	0	1702950058	1702951038
99	8320	534	0	1702950068	1702951058
100	8579	112	0	1702950078	1702951078
101	6503	686	0	1702950088	1702951098
102	4108	751	0	1702950098	1702951118
103	1992	289	0	1702950108	1702951138
104	5932	160	0	1702950118	1702951158
105	974	785	0	1702950128	1702951178
106	4908	769	0	1702950138	1702951198
107	9375	387	0	1702950148	1702951218
108	530	334	0	1702950158	1702951238
109	6786	783	0	1702950168	1702951258
110	7408	458	0	1702950178	1702951278
111	6392	585	0	1702950188	1702951298
112	3602	405	0	1702950198	1702951318
113	4547	795	0	1702950208	1702951338
114	4741	921	0	1702950218	1702951358
115	6155	565	0	1702950228	1702951378
116	4399	988	0	1702950238	1702951398
